Nombre;Apellido;Cedula;Genero;Cargo;Fecha Ingreso;Servicios;Campana;Rotacion;Turno
lionel;lopez;529685;Masculino;OPERADOR;1/4/2022;BC_CONSULTAS_MEDICAS;BC_CONSULTAS_MEDICAS;MAR - SAB;MIXTO
Neymar ;castillo;884;Masculino;OPERADOR;2/4/2022;CARIOLA;CUSTOMER;MAR - VIER - SAB;DIURNO
Cristiaño;figueroa;7787;Masculino;OPERADOR;3/4/2022;IMS_COLOMBIA;IMS COLOMBIA;SAB - MIE;FULL-TIME
Andrés ;llanes;7878;Masculino;OPERADOR;4/4/2022;COCA_COLA;COCA-COLA;DOM - JUE;DIURNO
Ana;delgado;52555;Femenino;OPERADOR;5/4/2022;FAST_PAYMENT;FASTPAYMENT;LUN - VIER;MIXTO
enzo;sarmiento;14124;Masculino;OPERADOR;6/4/2022;HERBALIFE;HERBALIFE;VIER - MAR;NOCTURNO
Eric ;hernandez;4544;Masculino;OPERADOR;7/4/2022;IMS_COLOMBIA;IMS COLOMBIA;JUE - LUN;FULL-TIME
evá;dominguez;45744;Femenino;OPERADOR;8/4/2022;RAPID_PAGO;RAPID_PAGO;MAR - VIER - SAB;NOCTURNO
hugó;prado;77777;Masculino;OPERADOR;9/4/2022;SIMPLE_TV;CHAT;LUN - JUE - DOM;MIXTO
ivan;castro;1258;Masculino;OPERADOR;10/4/2022;SIMPLE_TV;REDES_SOCIALES_CONATEL;MAR - SAB;DIURNO
Júan;colmenarez;7851;Masculino;OPERADOR;11/4/2022;SIMPLE_TV;LLAMADAS_SALIENTES;MAR - SAB;DIURNO
lara;jimenez;98565;Masculino;OPERADOR;12/4/2022;SIMPLE_TV;IVR-ATC;MAR - SAB;DIURNO
diego;ramirez;71185;Masculino;OPERADOR;13/3/2022;TOP_TRACKING_SYSTEM;SUPERVISORES_TTS;JUE - LUN;DIURNO
hector;hidalgo;9521074;Masculino;OPERADOR;14/3/2022;TOP_TRACKING_SYSTEM;TOP_TRACKING_SYSTEM;JUE - LUN;FULL-TIME
paola;puente;41;Femenino;SUPERVISOR;15/3/2022;SIMPLE_TV_VENTAS;VENTAS;DOM - JUE;FULL-TIME
yesenia;jaramillo;7410;Femenino;ANALISTA;16/3/2022;SIMPLE_TV_VENTAS;COBRANZAS;MAR - MIE - SAB;FULL-TIME
patricia;moya;5557;Femenino;ANALISTA;17/3/2022;MOVILNET;MOVILNET;MIE - JUE - DOM;FULL-TIME
paulina;carrasco;78678;Femenino;SUPERVISOR;18/3/2022;FALABELLA;FALABELLA;SAB - MIE;NOCTURNO
sofia;jaimes;12365;Femenino;SUPERVISOR;19/3/2022;BANCARIBE;BANCARIBE;LUN - MIE - VIER;NOCTURNO
ivana;naranjo;88888;Femenino;SUPERVISOR;20/3/2022;BANCAMIGA;BANCAMIGA;MAR - MIE - SAB;NOCTURNO
sabrina;sarmiento;951236;Femenino;OPERADOR;21/3/2022;CRUZ_BLANCA;CRUZ_BLANCA;MAR - SAB;NOCTURNO
tatiana;perez;21408549;Femenino;ANALISTA;22/3/2022;RIPLEY;RIPLEY;MAR - SAB;NOCTURNO
veronica;piñero;1605263;Femenino;ANALISTA;23/3/2022;CAJA_LOS_ANDES;CAJA_LOS_ANDES;MAR - VIER - SAB;MIXTO
amaira;mercedes;4520369;Femenino;SUPERVISOR;24/3/2022;LA_GIRALDA;LA_GIRALDA;MAR - MIE - SAB;MIXTO
laura;torres;4986523;Femenino;SUPERVISOR;25/3/2022;BANCO_ACTIVO;BANCO_ACTIVO;DOM - JUE;MIXTO
